/*-,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Everything shot from May 30 to June 7, 2023 may have been tap water (needle handled without gloves) instead of distilled water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No perspective warping. Warping is found unnecessary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doing heights 1, 2, 3, 4, (fifth height is way high above).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r = extra replication (e.g. r2_E2_4_10r),,a decimal point to an experiment number means extra replication (e.g. r2_6.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front View: Camera 2; Top View: Camera 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRONT VIEW CAMERA: For front camera, ensure camera aperture is fully closed and lens aperture is fully dark. Lens used is Micro-NIKKOR 55 mm 1:28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOP VIEW CAMERA: For top view camera, ensure camera aperture is fully closed. Lens aperture is variable as needed. Lens used is Micro-NIKKOR 55 mm 1:28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The two sidelights (a 30 W light to the left when facing the fur and 50 W light to the right when facing the fur) are to be fully maxed out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
