Order,No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m),Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Do (m),Aspect Ratio,Modified Aspect Ratio,Weber #,Initial Spread
10,r10,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.6,1.296296296,1.296296296,6.074074074,6.407407407,0.3128754829,2.598952359,1,0.8518518519,7.766642721,47,0.03792831924,1.296296296,0,,1.373847926,5.054723502,12.62384793,,7.619681192,02/25/2024,r5_E1_6_1,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,761,0.002598952359,0.6849684968,0.2928102924,3.486907663,4.777777778
11,r11,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_2,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,26.8,6.679104478,6.679104478,6.343283582,6.567164179,0.339843932,2.504148185,0.2985074627,0.07462686567,16.44404639,54,1.81E-02,0,0,0.787037037,3.75,17.54032258,17.54032258,,1.794797352,02/25/2024,r5_E1_6_2,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,761,0.002504148185,0.6849684968,0.3038957536,3.963858359,6.343283582
12,r12,1,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_2,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.8,1.366906475,1.366906475,6.223021583,6.54676259,0.3392377475,2.693525244,0.9712230216,0.8273381295,-15.84969076,64,0.07608458688,1.618705036,0.4316546763,,24.95391705,38.22580645,46.24423963,46.24423963,2.440157031,02/25/2024,r5_E1_6_3,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,761,0.002693525244,0.6849684968,0.2825293737,4.248429877,4.604316547
13,r13,1,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.6,1.811594203,1.811594203,4.637681159,4.891304348,0.5009846993,2.621023185,0,0,18.85563688,66,0.09578938896,1.376811594,0.5797101449,0,6.520737327,10.43778802,12.78801843,12.78801843,1.401699846,02/25/2024,r5_E1_7_1,997.77,0.001,0.0728,"E, W",E,W,JLRS,350,1079,0.002621023185,0.755073478,0.4116712916,9.01610269,3.260869565
14,r14,1,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,25.2,2.142857143,2.142857143,5.753968254,6.071428571,0.5804367201,2.909075185,0,0,25.78062581,62,0.007289184176,2.817460317,0.1587301587,0,7.465437788,8.903225806,9.751152074,9.751152074,1.662718342,02/25/2024,r5_E1_7_2,997.77,0.001,0.0728,"E, W",E,W,DLRS,350,1079,0.002909075185,0.755073478,0.3709082548,13.43271397,2.936507937
15,r15,1,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.2,1.985294118,1.985294118,5.036764706,5.404411765,0.5420866935,2.68313872,0,0,20.22823534,59,0.06703807428,1.544117647,0.6985294118,0,11.7281106,12.55760369,14.63133641,14.63133641,1.683621156,02/25/2024,r5_E1_7_3,997.77,0.001,0.0728,"E, W",E,W,JLRS,350,1079,0.00268313872,0.755073478,0.4021409672,10.80636626,3.492647059
16,r16,1,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,1.972789116,2.006802721,6.360544218,6.394557823,0.2298420991,2.918615229,0.7142857143,0.4421768707,21.50632298,357,0.05639780713,3.129251701,-0.03401360544,,4.821428571,8.588709677,6.89516129,8.588709677,7.350036768,04/13/2023,r5_E1_8_1,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,1650,0.002918615229,0.825,0.5653365964,2.11317306,3.231292517
17,r17,1,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,1.428571429,1.496598639,4.863945578,5.204081633,0.2275038394,2.921617896,0.9523809524,0.2040816327,23.80379726,119,0.00743639902,2.448979592,-0.06802721088,,7.52764977,12.79493088,13.79032258,13.79032258,0.752734909,04/13/2023,r5_E1_8_2,997.77,0.001,0.0728,"D, W",D,W,DLRD,350,1650,0.002921617896,0.825,0.5647555768,2.07252577,2.414965986
18,r18,1,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,2.006802721,2.006802721,5.74829932,6.12244898,0.2376304188,2.943664874,0.7142857143,0,25.65032763,135,0.04097352854,2.380952381,-0.03401360544,,6.433179724,10.00921659,10.67281106,10.67281106,1.614520871,04/13/2023,r5_E1_8_3,997.77,0.001,0.0728,"D, W",D,W,DLRD,350,1650,0.002943664874,0.825,0.5605257631,2.278198151,3.367346939
64,r64,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,24.8,1.532258065,1.532258065,4.475806452,5.927419355,0.7234651405,2.629266289,0.4838709677,0.4838709677,4.110960262,49,0.1062932357,1.814516129,0,,1.244239631,22.71889401,5.944700461,22.71889401,1.375792828,03/19/2024,r5_E1_6_10,997.77,0.001,0.0728,"D, W",D,W,JLRD,350,761,0.002629266289,0.6849684968,0.2894343579,18.86117981,2.661290323
