Order,No.,Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Initial Spread,Names,Date,Filename,Height [level],Droplet Velocity [m/s],Droplet Diameter [mm],Aspect Ratio,Weber #,Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Steady-State Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Do (m),Modified Aspect Ratio,Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m)
1,h1,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,30.6,2.254901961,2.254901961,5.196078431,5.22875817,1.568627451,0.9150326797,1.172830056,246,0.2452320424,2.091503268,0,2.843137255,0.6048387097,5.927419355,7.620967742,,5.280567007,3.104575163,Agustin Soto,03/31/2023,h5_E1_3_1,1,0.248956053,2.498722351,0.5798319328,2.122572065,"D, W",D,W,BLRD,350,483,0.002498722351,0.1937308069,997.77,0.001,0.0728
2,h2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,29.7,2.323232323,2.323232323,4.882154882,4.949494949,1.212121212,0.7744107744,3.504155441,190,0.05369384398,1.885521886,0,2.02020202,0,3.588709677,9.233870968,,4.639430133,2.996632997,Agustin Soto,03/31/2023,h5_E1_3_2,1,0.3088061112,2.396203776,0.5798319328,3.131804064,"D, W",D,W,JIB,350,483,0.002396203776,0.2020193367,997.77,0.001,0.0728
3,h3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,29.1,0.9278350515,0.9278350515,4.879725086,5.085910653,1.683848797,0.8934707904,2.359553131,114,0.06735265542,1.580756014,0,2.920962199,0,7.880184332,8.986175115,,0.9726554086,3.298969072,Agustin Soto,03/31/2023,h5_E1_3_3,1,0.2540921523,2.612355312,0.5798319328,2.311605997,"D, W",D,W,JIB,350,483,0.002612355312,0.1853038502,997.77,0.001,0.0728
4,h4,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,29.1,0.9621993127,0.9621993127,4.982817869,5.360824742,1.374570447,0.824742268,4.847930162,112,0.4056980562,2.199312715,0.1030927835,2.164948454,2.603686636,2.695852535,3.801843318,,1.193994681,2.783505155,Agustin Soto,03/31/2023,h5_E1_4_1,1,0.2921597986,2.528474066,0.65,2.958002107,"D, W",D,W,JLRH,350,650,0.002528474066,0.2576465974,997.77,0.001,0.0728
5,h5,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,28.5,1.087719298,1.473684211,5.473684211,5.50877193,1.403508772,0.8771929825,3.45481662,217,0.2459252981,2.421052632,0.0350877193,2.245614035,2.315668203,6.739631336,7.223502304,,4.479408983,3.052631579,Agustin Soto,03/31/2023,h5_E1_4_2,1,0.2702139086,2.694452467,0.65,2.696404159,"D, W",D,W,JIB,350,650,0.002694452467,0.2417755546,997.77,0.001,0.0728
6,h6,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,31.2,1.025641026,1.025641026,5.064102564,5.224358974,1.666666667,0.9615384615,-0.326420843,187,0.1314186801,1.762820513,0.03205128205,2.852564103,1.008064516,9.314516129,10.52419355,,2.694326606,3.301282051,Agustin Soto,03/31/2023,h5_E1_4_3,1,0.2115819701,2.617623387,0.65,1.606066553,"D, W",D,W,JIB,350,650,0.002617623387,0.2488718365,997.77,0.001,0.0728
7,h7,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,31.5,2.857142857,3.396825397,3.968253968,4.19047619,0,0,12.74498287,107,0.3099335534,1.936507937,0.1587301587,0,9.573732719,10.40322581,8.398617512,,1.039774412,2.031746032,Agustin Soto,04/03/2023,h5_E1_5_1,1,0.3119627623,2.300224436,0.7549019608,3.068137293,"E, W",E,W,DRSH,350,1078,0.002300224436,0.4696973461,997.77,0.001,0.0728
8,h8,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,30.6,2.647058824,2.647058824,4.31372549,4.640522876,0.3921568627,0,14.41529387,153,0.2558916013,1.993464052,0,0.3921568627,0,8.744239631,4.735023041,,3.339145877,2.320261438,Agustin Soto,04/03/2023,h5_E1_5_2,1,0.3117914603,2.396615115,0.7549019608,3.193197561,"D, W",D,W,SDRD,350,1078,0.002396615115,0.4508063501,997.77,0.001,0.0728
9,h9,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,30.6,3.071895425,4.052287582,3.562091503,3.823529412,0,0,12.19161718,105,0.5725034495,1.241830065,0.1307189542,0,11.35368664,12.59792627,5.132488479,,1.936459445,2.320261438,Agustin Soto,04/03/2023,h5_E1_5_3,1,0.307693918,2.511246173,0.7549019608,3.258563393,"E, W",E,W,DRSH,350,1078,0.002511246173,0.4302283561,997.77,0.001,0.0728
10,h10,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,27.9,1.827956989,1.827956989,4.76702509,5.770609319,2.329749104,1.362007168,-4.336839717,117,0.05462537227,-0.1433691756,0,4.301075269,0,11.49193548,14.39516129,,0.804086499,4.910394265,Zack Morgan,03/24/2024,h5_E1_6_1,1,0.2096377329,2.867869396,0.6849684968,1.727417603,"D, W",D,W,JIB,350,761,0.002867869396,0.2659468468,997.77,0.001,0.0728
