No.,Date,Filename,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Needle,Fur Sample,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Taumaxspread,Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Aspect Ratio,Modified Aspect Ratio,Density of Water (kg/m^3),Surface Tension of Water (N/m),Do (m),Weber #
r65,03/19/2024,r5_E1_6_11,2,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,22.8,1.578947368,1.622807018,3.728070175,5.877192982,0.7501205445,2.831609688,0.1315789474,0.1315789474,13.34147052,60,2.153258456,0.1315789474,0.5263157895,0.005771006464,11.30184332,15.5875576,11.16359447,0.9713351415,"E, W",E,W,XXX,350,761,0.6849684968,0.2687517292,1000,0.072,0.002831609688,22.1290624
r66,03/19/2024,r5_E1_6_12,2,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,23.4,0.9829059829,0.9829059829,2.307692308,5.811965812,0.7667883587,2.748540723,0,,21.74378504,50,1.296647518,-2.692307692,-2.136752137,,3.830645161,10.44354839,10.44354839,1.301907461,"E, W",E,W,XXX,350,761,0.6849684968,0.2768741949,1000,0.072,0.002748540723,22.44505641
r118,03/22/2024,r5_E1_6_19,3,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,20.8,1.442307692,1.442307692,6.442307692,6.490384615,0.9400653694,2.781743957,0,0,22.54135807,47,0.1040160825,1.923076923,0,,7.488479263,9.470046083,13.80184332,2.365587087,"E, W",E,W,JLRS,350,761,0.6849684968,0.2735693909,1000,0.072,0.002781743957,34.14292824
r119,03/22/2024,r5_E1_6_20,3,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,21.2,1.462264151,1.462264151,6.367924528,6.41509434,0.9140230838,2.728379696,0,0,21.26880281,50,0.03936573329,1.698113208,0,0,8.266129032,14.37211982,14.0264977,2.121703542,"E, W",E,W,JLRS,350,761,0.6849684968,0.2789201228,1000,0.072,0.002728379696,31.65823078
r120,03/22/2024,r5_E1_6_21,3,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,21.8,1.467889908,1.467889908,5.779816514,5.825688073,0.9036101513,2.656775204,0,0,19.63780963,40,0.3279191269,1.834862385,0.04587155963,0,10.22465438,14.890553,17.42511521,1.700576982,"E, W",E,W,DLRS,350,761,0.6849684968,0.2864374821,1000,0.072,0.002656775204,30.12898598
r172,06/01/2024,r5_E1_6_28,4,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,24.4,2.008196721,2.008196721,5.368852459,6.43442623,1.505809764,2.53137853,0.04098360656,0.04098360656,16.98634322,90,0.0399436679,1.229508197,0,4.10E-02,0.1555299539,16.77995392,7.275345622,1.586286941,"E, W",E,W,NR,350,761,0.6849684968,0.3006267103,1000,0.072,0.00253137853,79.71954542
r173,06/01/2024,r5_E1_6_29,4,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,24.8,1.975806452,1.975806452,5.040322581,6.370967742,1.476906158,2.489643252,0.04032258065,0.04032258065,16.15994873,90,0.03917473859,0.9274193548,-0.04032258065,4.03E-02,1.538018433,12.01036866,2.8859447,1.581919988,"E, W",E,W,NR,350,761,0.6849684968,0.3056662835,1000,0.072,0.002489643252,75.42415033
r174,06/01/2024,r5_E1_6_30,4,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,25.2,1.944444444,1.944444444,5.158730159,6.349206349,1.471445221,2.532505858,0,0,17.0090475,93,0.1620859264,1.388888889,0,0.00E+00,1.399769585,11.18087558,2.505760369,1.549395793,"E, W",E,W,NR,350,761,0.6849684968,0.3004928883,1000,0.072,0.002532505858,76.15635678
r10,02/25/2024,r5_E1_6_1,1,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.6,1.296296296,1.296296296,6.074074074,6.407407407,0.6000966184,2.598952359,1,0.8518518519,7.766642721,127,0.03792831924,1.296296296,0,,1.373847926,5.054723502,12.62384793,7.619681192,"D, W",D,W,JLRD,350,761,0.6849684968,0.2928102924,1000,0.072,0.002598952359,12.99894724
r64,03/19/2024,r5_E1_6_10,2,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,24.8,1.532258065,1.532258065,4.475806452,5.927419355,0.7234651405,2.629266289,0.4838709677,0.4838709677,4.110960262,49,0.1062932357,1.814516129,0,,1.244239631,22.71889401,5.944700461,1.375792828,"D, W",D,W,JLRD,350,761,0.6849684968,0.2894343579,1000,0.072,0.002629266289,19.1133713
