No.,Date,Filename,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Needle,Fur Sample,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Taumaxspread,Initial Impact Classification,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Aspect Ratio,Modified Aspect Ratio,Density of Water (kg/m^3),Surface Tension of Water (N/m),Do (m),Weber #
r1,02/09/2023,r5_E1_3_1,1,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.4,1.578947368,1.578947368,7.368421053,7.368421053,0.2402649178,2.590245469,0,0,18.1991618,314,3.273666408,1.447368421,0.8552631579,0,2.776497696,4.688940092,3.352534562,4.514202536,"E, W",JLRS,350,483,0.5798319328,186.4688138,1000,0.072,0.002590245469,2.076773581
r2,02/09/2023,r5_E1_3_2,1,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.6,1.587837838,1.587837838,8.378378378,8.412162162,0.2405241997,2.694683325,0,0,20.49046541,658,3.050222973,2.601351351,0.8783783784,0,10.94470046,13.57142857,13.52534562,15.20374891,"E, W",JLRS,350,483,0.5798319328,179.241841,1000,0.072,0.002694683325,2.165173958
r3,02/09/2023,r5_E1_3_3,1,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.7,1.582491582,1.919191919,7.508417508,7.542087542,0.2560896585,2.675563117,0,0,20.05738079,247,1.87336914,3.164983165,0.3367003367,0,1.707373272,2.122119816,1.569124424,3.222381529,"E, W",JLRS,350,483,0.5798319328,180.5227456,1000,0.072,0.002675563117,2.437063168
r55,03/14/2023,r5_E1_3_10,2,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.6,1.568627451,2.026143791,6.176470588,6.176470588,0.5115769712,2.727990303,0.09803921569,0.09803921569,21.2596977,117,0.1087176341,2.745098039,-0.1960784314,0.003203895937,9.648617512,13.39285714,19.15322581,1.750269564,"E, W",NR,350,483,0.5798319328,177.0534153,1000,0.072,0.002727990303,9.915903659
r56,03/14/2023,r5_E1_3_11,2,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.4,2.302631579,2.302631579,6.578947368,6.776315789,0.5868999422,2.783210349,0,0,21.62460477,108,0.8088886804,3.388157895,0.8552631579,0,6.407834101,10.97004608,12.54608295,1.686972578,"E, W",NR,350,483,0.5798319328,173.5406022,1000,0.072,0.002783210349,13.31501523
r57,03/14/2023,r5_E1_3_12,2,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31.4,2.261146497,2.261146497,6.751592357,6.910828025,0.5497811521,2.669943213,0,0,19.93125709,112,0.10124454,3.152866242,0.923566879,0,9.072580645,13.5656682,16.1578341,1.715957695,"E, W",NR,350,483,0.5798319328,180.902724,1000,0.072,0.002669943213,11.20854454
r109,03/21/2023,r5_E1_3_19,3,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,28.5,2.456140351,2.877192982,6.105263158,6.245614035,0.847426258,2.966353733,0.1052631579,0,27.33363773,82,0.005845757726,2.526315789,0.0350877193,0.1052631579,2.442396313,15.71428571,4.65437788,2.285435479,"E, W",NR,350,483,0.5798319328,162.8261642,1000,0.072,0.002966353733,29.58654655
r110,03/21/2023,r5_E1_3_20,3,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,28.8,2.430555556,2.847222222,5.625,5.694444444,0.8503787879,2.934467895,0,0,26.46163685,77,0.06620152763,2.152777778,0.03472222222,0,3.83640553,9.781105991,4.18202765,2.125125009,"E, W",NR,350,483,0.5798319328,164.5954283,1000,0.072,0.002934467895,29.47282075
r111,03/21/2023,r5_E1_3_21,3,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.7,2.356902357,2.65993266,5.31986532,5.387205387,0.7575472398,2.82497198,0,0,23.60864444,73,0.04079736752,1.851851852,0.03367003367,0,7.430875576,5.149769585,3.214285714,1.519578857,"E, W",NR,350,483,0.5798319328,170.9751472,1000,0.072,0.00282497198,22.51651059
r163,01/11/2024,r5_E1_3_28,4,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Will Stallions,30.3,3.069306931,3.102310231,4.851485149,6.666666667,1.4427157,2.573411899,0,0,17.84664283,19,0.01385538145,1.650165017,0,0.396039604,4.717741935,4.717741935,6.491935484,2.2424948,"E, D",JLRS,350,483,0.5798319328,187.6885703,1000,0.072,0.002573411899,74.39407089
